Replicate.Name,Compound.Name,Retention.Time,Area,Height,Background,Molecule.List,Precursor.Ion.Name,Sal
240108_Std_4uMStdsMix1InH2O_1,(3-Carboxypropyl)trimethylammonium,10.24,3196733696,267834528,30035724,S,Std,NA
240108_Std_4uMStdsMix1InH2O_2,(3-Carboxypropyl)trimethylammonium,10.25,4449897984,347975904,51829220,S,Std,NA
240108_Std_4uMStdsMix2InH2O_1,(3-Carboxypropyl)trimethylammonium,10.52,3955652864,152534672,49307012,S,Std,NA
240108_Std_4uMStdsMix2InH2O_2,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,NA,S,Std,NA
240108_Std_4uMStdsMix1InSynMatrix_1,(3-Carboxypropyl)trimethylammonium,10.27,3771670016,294339584,47222272,S,Std,NA
240108_Std_4uMStdsMix1InSynMatrix_2,(3-Carboxypropyl)trimethylammonium,10.26,3958096896,305260768,28302174,S,Std,NA
240108_Std_4uMStdsMix2InSynMatrix_1,(3-Carboxypropyl)trimethylammonium,10.54,4564299776,307797120,64532432,S,Std,NA
240108_Std_4uMStdsMix2InSynMatrix_2,(3-Carboxypropyl)trimethylammonium,10.76,4710150656,177833888,44722440,S,Std,NA
240108_Std_H2OinSynMatrix_1,(3-Carboxypropyl)trimethylammonium,10.3,73808,71089,0,S,Std,NA
240108_Std_H2OinSynMatrix_2,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,NA,S,Std,NA
240108_Poo_Syn_Full1,(3-Carboxypropyl)trimethylammonium,9.98,253396,98237,0,S,Poo,NA
240108_Poo_Syn_Full2,(3-Carboxypropyl)trimethylammonium,10.3,355862,99885,0,S,Poo,NA
240108_Poo_Syn_Full3,(3-Carboxypropyl)trimethylammonium,10.06,74057,44846,0,S,Poo,NA
240108_Poo_Syn_Half1,(3-Carboxypropyl)trimethylammonium,10.65,86358,33769,0,S,Poo,NA
240108_Poo_Syn_Half2,(3-Carboxypropyl)trimethylammonium,10.28,236763,70371,0,S,Poo,NA
240108_Poo_Syn_Half3,(3-Carboxypropyl)trimethylammonium,10.88,506271,69897,0,S,Poo,NA
240108_Smp_25ppt_A,(3-Carboxypropyl)trimethylammonium,10.32,2783522,288488,0,S,Smp,25
240108_Smp_25ppt_B,(3-Carboxypropyl)trimethylammonium,10.1,35407,25844,0,S,Smp,25
240108_Smp_25ppt_Blk,(3-Carboxypropyl)trimethylammonium,10.07,52528,39919,0,S,Smp,25
240108_Smp_30ppt_A,(3-Carboxypropyl)trimethylammonium,10.24,59684,45137,0,S,Smp,30
240108_Smp_30ppt_B,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,NA,S,Smp,30
